id,Lake_ID,Lake_Name,Priority,CaSpec,ConcB,num,index_RABD615,index_RABD660670,index_RABD845,index_R570R630,index_R590R690,median_RABD615,median_RABD660670,median_RABD845,median_R570R630,median_R590R690,mean95_RABD615,mean95_RABD660670,mean95_RABD845,mean95_R570R630,mean95_R590R690,range95_RABD615,range95_RABD660670,range95_RABD845,range95_R570R630,range95_R590R690,meanIQR_RABD615,meanIQR_RABD660670,meanIQR_RABD845,meanIQR_R570R630,meanIQR_R590R690,rangeIQR_RABD615,rangeIQR_RABD660670,rangeIQR_RABD845,rangeIQR_R570R630,rangeIQR_R590R690,meanIndices_RABD615,meanIndices_RABD660670,meanIndices_RABD845,meanIndices_R570R630,meanIndices_R590R690
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-11 - Marion,39367,Marion,1,436.1458426,0.364787973,11,RABD615,RABD660670,RABD845,R570R630,R590R690,1.149129454,1.770069701,0.994272717,0.957209056,0.745916924,1.151571195,1.779139351,0.994405804,0.958330725,0.749177844,0.199418777,0.669935831,0.073839189,0.289663481,0.368328892,1.14963061,1.771678786,0.994256935,0.95721354,0.746586081,0.064031205,0.213086751,0.024851312,0.09541866,0.121286732,1.142964593,1.741161896,0.994246722,0.963161675,0.754292218
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-12 - Rotokawau,18719,Rotokawau_Aupouri,1,378.388919,0.300822066,12,RABD615,RABD660670,RABD845,R570R630,R590R690,1.090117772,1.432373781,1.032128146,0.884527644,0.747485922,1.092302318,1.434308653,1.03253422,0.886506322,0.754428896,0.208767231,0.460025033,0.099527626,0.299184551,0.456509672,1.090574204,1.43284378,1.032252412,0.884868442,0.748826132,0.068306101,0.150875013,0.033951499,0.096819238,0.146943972,1.082336734,1.392861844,1.032351105,0.894209345,0.76491085
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-13 - Waingata,50377,Waingata,1,132.5500645,0.288099842,13,RABD615,RABD660670,RABD845,R570R630,R590R690,1.073724286,1.338599906,1.001804645,0.907126159,0.771778487,1.075495324,1.342828097,1.00206388,0.9076683,0.772833407,0.164132405,0.324610483,0.096518577,0.262574234,0.346713666,1.074061454,1.33935102,1.001883273,0.907140997,0.77191197,0.053696744,0.094585782,0.033016601,0.083981489,0.113617764,1.070906225,1.321195184,1.001967164,0.91175848,0.776874281
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-14 - 34599,34599,L_34599,1,543.5277658,0.253342846,14,RABD615,RABD660670,RABD845,R570R630,R590R690,1.071982006,1.441215624,1.036948449,0.963163783,0.866236392,1.073743025,1.446600452,1.037402411,0.9640155,0.869694515,0.177635199,0.467648308,0.108047047,0.277006993,0.421928252,1.072390188,1.44224365,1.037027032,0.963177488,0.86689944,0.058753525,0.148983375,0.036870171,0.090720263,0.13929202,1.067975243,1.410707363,1.037074596,0.96789185,0.875715462
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-15 - Waiau,15907,Waiau,1,83.3362935,0.242852031,15,RABD615,RABD660670,RABD845,R570R630,R590R690,1.032752384,1.139103376,0.994072275,0.914761208,0.821594034,1.034020714,1.140756257,0.994514391,0.915194243,0.82320519,0.164269633,0.196094056,0.114749944,0.275216464,0.357321838,1.03298889,1.13951975,0.99412833,0.914688226,0.821884982,0.055382155,0.063976998,0.039250907,0.09116431,0.117186534,1.030747009,1.113705624,0.994034594,0.918541424,0.826766382
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-16 - Rotomanuka,14428,Rotomanuka,2,187.7307219,0.217553675,16,RABD615,RABD660670,RABD845,R570R630,R590R690,1.050799227,1.232330693,0.992322458,0.896385685,0.774211622,1.052445875,1.234070809,0.992724193,0.897159851,0.776080335,0.173659963,0.244936047,0.112459855,0.252789127,0.35640555,1.051160888,1.232573417,0.992415925,0.896367633,0.774406599,0.057785418,0.079652743,0.038806715,0.084297481,0.113502778,1.047769585,1.205936197,0.992264189,0.901051399,0.780720924
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-17 - Georgina,48447,Georgina,2,105.8681146,0.205940805,17,RABD615,RABD660670,RABD845,R570R630,R590R690,1.055536767,1.255069212,1.002081099,0.903800904,0.780856152,1.056935874,1.255270794,1.002600813,0.903759119,0.780554091,0.139311129,0.214837062,0.091319004,0.224433521,0.321413161,1.055798495,1.255149912,1.002220057,0.903807367,0.780694862,0.044949272,0.066763958,0.031071899,0.072865815,0.103688679,1.052730535,1.236295664,1.002009373,0.907750185,0.784705106
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-18 - Oingo,36096,Oingo,2,123.506054,0.187140044,18,RABD615,RABD660670,RABD845,R570R630,R590R690,1.074498817,1.497825256,1.008494118,0.859008799,0.741032839,1.077598625,1.501464647,1.008564747,0.858809197,0.740740737,0.143730135,0.32511458,0.060953808,0.199970597,0.302560493,1.075113469,1.498497911,1.008477681,0.859001201,0.740949674,0.045880024,0.096692004,0.020992538,0.063715297,0.102376288,1.071947713,1.485289342,1.008503126,0.861719447,0.744603939
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-19 - Waitahora,24434,Waitahora,2,41.79342283,0.158505834,19,RABD615,RABD660670,RABD845,R570R630,R590R690,1.045409319,1.30117555,1.002744739,0.831538918,0.744689171,1.045556089,1.298494118,1.003311626,0.833771091,0.7511464,0.133197391,0.315776833,0.097263664,0.238645635,0.34664154,1.045422504,1.300684149,1.002852421,0.831877378,0.745566419,0.045077964,0.103958451,0.032845942,0.071892997,0.090911057,1.039958687,1.268211044,1.002506301,0.839857833,0.759839019
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-20 - Tarawera,54732,Tarawera,2,140.2972424,0.157185076,20,RABD615,RABD660670,RABD845,R570R630,R590R690,1.046051996,1.311098514,0.988441784,0.864892902,0.786563129,1.046818662,1.312090091,0.988443641,0.864531734,0.785790812,0.101013708,0.184808309,0.063744658,0.168201861,0.228176365,1.046213857,1.311354884,0.988426394,0.864870443,0.786427284,0.03332629,0.061198204,0.021762982,0.056564401,0.073439593,1.04426608,1.300527405,0.988398765,0.865868025,0.786957594
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-1 - Maori Lake A,47859,Maori_Lake_A,2,142.7791626,0.153012716,21,RABD615,RABD660670,RABD845,R570R630,R590R690,1.080718493,1.273806349,0.991167175,0.886027266,0.712241143,1.080973255,1.275469009,0.991328118,0.886121814,0.712691411,0.12154613,0.17687519,0.07042285,0.173786701,0.205522225,1.08072075,1.274013622,0.991192938,0.886065527,0.712203422,0.041075426,0.059014257,0.024290283,0.057460652,0.067078591,1.077568536,1.259409536,0.991231502,0.887335626,0.713625923
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-2 - Sarah,48673,Sarah,2,54.6651722,0.147764076,22,RABD615,RABD660670,RABD845,R570R630,R590R690,1.054628689,1.216074958,0.995648191,0.888265751,0.741065441,1.054959359,1.214974657,0.995913968,0.890557816,0.747250768,0.145758821,0.245390292,0.084527324,0.232721935,0.373238329,1.054760848,1.215735742,0.995644647,0.888721051,0.741902783,0.048273908,0.080810134,0.028664415,0.074985205,0.115156762,1.049600737,1.194118614,0.995455131,0.895193519,0.753023583
