geo_lakeId,top2_660670
11133,1.5793357440465705
15325,1.048701702183724
15795,1.1933331777560734
16722,1.1278492041144426
17286,1.479480609082453
195,1.160805024449112
21759,1.3147716495032005
21871,1.141882159328141
24960,1.0303740984790275
25044,1.0587317805367793
25790,1.1398491491267895
26277,1.273149342557937
29073,1.100856762729003
29541,1.075297086345991
32478,1.3889702656521525
34665,1.0894616407634234
36742,1.0935381056334774
36981,1.1592835399503834
39050,1.024502163864065
39367,1.5348661124747045
41299,1.16919650003153
43649,1.0956332112948606
44391,1.095672156512302
44747,1.258095224717
45434,1.28472530135556
46051,1.1661060746483234
46212,1.0471690782493654
46725,1.087401358039756
46954,1.211417887002624
46959,1.0108792869547094
47579,1.0889433994645201
47860,1.3275527004816114
47892,1.1014100930826904
48660,1.059653163527936
50151,1.22902806215951
50270,1.1524597291149843
51958,1.177910805865985
52167,1.1178769358505094
54731,1.3071764900833946
7512,1.305550139771713
8138,1.3652212152080039
L380.2,1.1290570525007595
L380.3,1.401312918196245
