"","Sample","Corrected.Depth_cm","Lake","WaterCont","ConcAl","ConcBc","ConcCt","ConcCa","ConcCb","ConcDd","ConcDt","ConcEc","ConcF","ConcL","ConcMx","ConcP","ConcV","ConcZ","CarSpec","CaSpec","CbSpec","549.65","569.71","589.88","615.22","630.49","649.65","658.61","659.89","661.17","662.45","663.73","665.02","666.30","667.58","668.86","670.15","671.43","688.14","689.43","729.45","790.43","845.12","849.03","850.34","885.53","899.86","970.10","980.48","Lake_ID"
"16","Ot-16",24.2316947,"Rototoa",0.791231305060437,0.0243611726960205,0,0.0950369578595664,0.185339267351182,0.0428545501020289,0.0145809072264149,0.213587096812756,0.00855537095075349,0.00984605202530777,0.124223142108937,0.0371454802361322,0,0,0.11078625656152,6.44450639497491,23.3842628176432,11.1777845287455,0.0967383531249982,0.10078514140113,0.102485836587797,0.105113232414935,0.106741393186949,0.106974444018431,0.108300720234225,0.108642273690761,0.108932761672009,0.109195385201642,0.109578864467152,0.110022602374017,0.110298104786244,0.110680760145722,0.11106381836064,0.111448079616723,0.111884531186435,0.116789923987579,0.116987130965268,0.127432826436203,0.137144724060368,0.139722988322003,0.139719448463694,0.139789585220876,0.139970093655036,0.139923531966272,0.137696560588814,0.137885990983871,"Ot-16"
"17","Ot-17",25.2316947,"Rototoa",0.750092902266817,0.0118295908872783,0,0.0672295557218045,0.12034703066593,0.0539416912581287,0.0103662428561292,0.0714382151007251,0.0028852246745719,0.00954699149436395,0.0545185581355413,0.0249690594539706,0,0,0.0223379941025791,2.98898592007149,16.5333606538708,8.89113268020898,0.0958930941500181,0.0993362183025872,0.100798987417639,0.103111583695824,0.104801002459729,0.105384012628129,0.106509182157117,0.106777091147954,0.10697255188441,0.107201771318885,0.10752364498322,0.107910780327564,0.108127782084481,0.108457020608282,0.108801703764515,0.109149360549068,0.109500210951084,0.113536418921605,0.113658324909053,0.122228550374704,0.130394407102863,0.132492324720276,0.132436936808532,0.132437288795838,0.132514236223923,0.132454584235948,0.13036472125816,0.130318627802158,"Ot-17"
"18","Ot-18",26.2316947,"Rototoa",0.817335107394032,0.0140168772255012,0,0.0604100681438732,0.104663617475022,0.0619436908367829,0.00950184201540875,0.0577520891150368,0.00311270053578901,0.00855501272081722,0.0441628435754525,0.0258659936999222,0,0,0.0263143677007436,4.25263562296118,23.9416213173527,13.4420404076577,0.106589988756421,0.110795375109814,0.111877966893486,0.114592099117044,0.11672440580732,0.116652481499654,0.117662406051608,0.117952545164888,0.11822437147422,0.118524978259851,0.118911800060492,0.119348397475441,0.119689949718401,0.120109855669634,0.120535161497332,0.120997934476866,0.121428447632215,0.126865010525692,0.127081150857903,0.138410985331792,0.14854499720484,0.150877395992612,0.150790947349326,0.150863644197662,0.150721934844325,0.150504160221207,0.147604268820855,0.147734933391311,"Ot-18"
"19","Ot-19",27.2316947,"Rototoa",0.783403121431292,0.0221206578548665,0,0.110035725477389,0.170058071908907,0.0857864766219312,0.0149394916715858,0.126167994835571,0.00351965687807875,0.0129114565246545,0.0558500594420714,0.0362767568378974,0,0,0.0399658678911171,5.56762888862708,26.1039747257866,14.7587045185729,0.106748682545253,0.111269868141531,0.112227019984494,0.114896767446593,0.117101152427398,0.116776544765226,0.117863648791254,0.118151554806401,0.11844478391015,0.11874837595749,0.119161712964656,0.119625051510779,0.119976674367103,0.120417870931227,0.120824590373935,0.121283792026371,0.121766612709302,0.127462965894343,0.12771043875945,0.139257353571429,0.149035803637477,0.150834064366621,0.150722275924486,0.150803476558157,0.150610625756975,0.150445769335051,0.147390484949701,0.147611040164351,"Ot-19"
"20","Ot-20",28.2316947,"Rototoa",0.649092313634609,0.0198195657341269,0,0.109323871889004,0.193156053728081,0.0909582880264588,0.0165624491754067,0.118010789400284,0.00713095104110551,0.0165492448873685,0.0518331855547546,0.0377629009936622,0,0,0.0377510073947304,3.79323904980423,20.9401903984981,10.652053968378,0.104628103975452,0.109031262821845,0.109999458875409,0.11275237507371,0.114937548370416,0.114421456629221,0.115432810101494,0.115778352794405,0.116087130964595,0.116395743939359,0.116783743951507,0.11727588729852,0.117641601520666,0.118131223434042,0.118539612442507,0.119064096457914,0.119539000110901,0.125604936526557,0.125862565898049,0.138163149314175,0.149003277997181,0.151794817849341,0.151716761501279,0.151785768518138,0.151968185665383,0.151941025363033,0.149360640174638,0.149697093545797,"Ot-20"
"21","Ot-21",33.2316947,"Rototoa",0.750279746363296,0.0145756944750405,0,0.109857582653851,0.323917907654502,0.0868388186956249,0.0159403579688095,0.152913680458968,0.00788799219089728,0.017357309168371,0.0518567072508418,0.052454951608974,0,0,0.0502859842923184,4.75543834881057,28.7846532722111,15.5037971786558,0.117803144949665,0.123110847262024,0.124764881308285,0.127694802281187,0.130039768653923,0.129980165922749,0.131131353632541,0.131434938240739,0.131744752919203,0.132105797736902,0.132510819643973,0.133020511184595,0.133414616217315,0.13391728745216,0.134348424575707,0.134872288338697,0.135394459245829,0.141982095428954,0.142261268260332,0.155459704460067,0.167071315478895,0.169553414997038,0.169378204736104,0.169488885685044,0.169199406025256,0.168947779116915,0.166091371432893,0.166529598192944,"Ot-21"
"22","Ot-22",36.2316947,"Rototoa",0.765465528015,0.0162588757248685,0,0.0724391135016919,0.167834477776339,0.038635177897457,0.00733554512925201,0.0977005402545684,0.0054439673177348,0.011651557324676,0.0310589793237738,0.0161423047138324,0,0,0.018309722207339,2.59389335000426,20.7620773587058,11.4758191504434,0.127519224281589,0.133246700477426,0.135595542750681,0.138562525292036,0.140801568279611,0.141409708539567,0.142576165720792,0.14282554440288,0.143097604248343,0.143387310402877,0.143755341695057,0.144227448218829,0.144562418923164,0.144993738615751,0.145465293885749,0.145956982571278,0.146381852853461,0.152321062928877,0.152512425711705,0.164545154730739,0.175474653565216,0.177367295303263,0.177135010723911,0.177216493178036,0.176416380152476,0.175978210077703,0.173076159223196,0.173435353392191,"Ot-22"
"23","Ot-23",38.2316947,"Rototoa",0.698698315467073,0.00614867492532256,0,0.0933550322138049,0.21547758241873,0.0772962003845989,0.0165336813243025,0.113328594472676,0.0114307093508989,0.0125586645965426,0.0353502621178273,0.0415823744458819,0,0,0.0495696888712029,3.13962052704825,17.71624100833,10.4853076271035,0.132837512636444,0.13926012833091,0.141800508898326,0.144938561994294,0.147159953925808,0.147841218947248,0.14916687002188,0.149441797929237,0.149724327092313,0.150032484175311,0.150407628259218,0.150898835924911,0.151253365284289,0.15170845603011,0.152131179208901,0.152614367080384,0.15309514255298,0.158983762395513,0.159218765134402,0.171045310812785,0.181184375732464,0.182101520556984,0.181778388869556,0.181868165290364,0.180354352212943,0.179582264360336,0.175948270398039,0.176297741636465,"Ot-23"
"24","Ot-24",39.2316947,"Rototoa",0.743638077285581,0.00860985351132006,0,0.0577250417700774,0.0994633170250915,0.0386082124258853,0.00405860875764841,0.0639484906297776,0.00164364059477247,0.0131843891960506,0.0232359158021087,0.0085576949473995,0,0,0.0120551557710327,1.50012726580655,15.4329602461499,8.36525613712005,0.129827482480812,0.135944560803243,0.138397157480363,0.141327716545359,0.143484180431458,0.144062087379079,0.145338684630173,0.145613357511099,0.145943979668659,0.146200155413101,0.146604140536939,0.147082837581055,0.147447574516015,0.147916291186004,0.14833144003727,0.148813444185583,0.149260168449882,0.15514327205907,0.155364781795213,0.167061837697797,0.177646310732998,0.178956276858312,0.178711463033888,0.178708284668691,0.177478872197694,0.176931140063192,0.173699224904998,0.174029152485029,"Ot-24"
"25","Ot-25",40.2316947,"Rototoa",0.645544905928293,0.00840471274311747,0,0.0371102637615313,0.053019362993153,0.0306424036115398,0.00329338348949798,0.0288551507315788,0.000754657204918993,0.0139471373937344,0.00825602601861167,0.00319680576433307,0,0,0.00552277384533123,0.744899649895924,14.215614963762,7.39807084895247,0.131883656024351,0.137774533945037,0.140344805435885,0.143559962331654,0.145898463216005,0.146950081308354,0.148314496507485,0.148592583738738,0.148900466738711,0.149229656965724,0.149564694541892,0.150097095924083,0.150378033057676,0.150815125864909,0.151211629112215,0.151660420628739,0.152082710957765,0.15757562730536,0.157715931072881,0.169021911362643,0.179838065376327,0.181317625760027,0.181102254241782,0.181114314378128,0.179895837552771,0.179373568069319,0.176128894835017,0.176375301126648,"Ot-25"
"26","Ot-26",41.2316947,"Rototoa",0.678545845272205,0.00508552065814774,0,0.0118605123051801,0.0236395026780026,0.0182382181700797,0.00142760735915523,0.00826216062413578,0.00135609476766036,0.00902995219102029,0.0056693384297031,0.0031073344904588,0,0,0.004798246859071,0.272825322210305,11.3211156625205,5.69255012978239,0.139696174006552,0.146439162691654,0.149710649254919,0.15346204498517,0.156206640851559,0.157921309342789,0.159378154902872,0.159620777341825,0.159951282600297,0.160227552094867,0.160592566285397,0.161083888977958,0.161391401103672,0.161819008845268,0.162159951508413,0.162586628151566,0.163042040535664,0.168110369054213,0.168235552434524,0.179236080966458,0.190366985851129,0.191305510499264,0.190974450940677,0.190999249922784,0.189195811236754,0.188134952035355,0.184475542400994,0.184481487265698,"Ot-26"
